,Sentence,Score,Total_Words,Total_Characters,Lemmed_Words,Lemmed_Characters
2024,i liked the patio and the service was outstanding,1,9,50,9,49
2025,the goat taco didnt skimp on the meat and wow what flavor,1,12,59,12,57
2026,i think not again,0,4,17,4,17
2027,i had the mac salad and it was pretty bland so i will not be getting that again,0,18,80,18,79
2028,i went to bachi burger on a friends recommendation and was not disappointed,1,13,77,13,75
2029,service stinks here,0,3,20,3,19
2030,i waited and waited,0,4,20,4,19
2031,this place is not quality sushi it is not a quality restaurant,0,12,64,12,62
2032,i would definitely recommend the wings as well as the pizza,1,11,60,11,59
2033,great pizza and salads,1,4,23,4,22
2034,things that went wrong  they burned the saganaki,0,9,51,8,48
2035,we waited an hour for what was a breakfast i could have done 100 times better at home,0,18,86,18,85
2036,this place is amazing,1,4,22,4,21
2037,i hate to disagree with my fellow yelpers but my husband and i were so disappointed with this place,0,19,101,19,99
2038,waited 2 hours  never got either of our pizzas as many other around us who came in later did,0,20,94,19,92
2039,just dont know why they were so slow,0,8,38,8,36
2040,the staff is great the food is delish and they have an incredible beer selection,1,15,83,15,80
2041,i live in the neighborhood so i am disappointed i wont be back here because it is a convenient location,0,20,106,20,103
2042,i didnt know pulled pork could be soooo delicious,1,9,51,9,49
2043,you get incredibly fresh fish prepared with care,1,8,50,8,48
2044,before i go in to why i gave a 1 star rating please know that this was my third time eating at bachi burger before writing a review,0,28,132,28,131
2045,i love the fact that everything on their menu is worth it,1,12,58,12,57
2046,never again will i be dining at this place,0,9,43,9,42
2047,the food was excellent and service was very good,1,9,49,9,48
2048,good beer  drink selection and good food selection,1,9,52,8,50
2049,please stay away from the shrimp stir fried noodles,0,9,52,9,51
2050,the potato chip order was sad i could probably count how many chips were in that box and it was probably around 12,0,23,118,23,114
2051,food was really boring,0,4,23,4,22
2052,good servicecheck,1,2,19,2,17
2053,this greedy corporation will never see another dime from me,0,10,60,10,59
2054,will never ever go back,0,5,25,5,23
2055,as much as id like to go back i cant get passed the atrocious service and will never return,0,19,95,19,91
2056,in the summer you can dine in a charming outdoor patio  so very delightful,1,15,77,14,74
2057,i did not expect this to be so good,1,9,36,9,35
2058,fantastic food,1,2,15,2,14
2059,she ordered a toasted english muffin that came out untoasted,0,10,61,10,60
2060,the food was very good,1,5,23,5,22
2061,never going back,0,3,17,3,16
2062,great food for the price which is very high quality and house made,1,13,68,13,66
2063,the bus boy on the other hand was so rude,0,10,42,10,41
2064,by this point my friends and i had basically figured out this place was a joke and didnt mind making it publicly and loudly known,0,25,132,25,129
2065,back to good bbq lighter fare reasonable pricing and tell the public they are back to the old ways,1,19,101,19,98
2066,and considering the two of us left there very full and happy for about 20 you just cant go wrong,1,20,100,20,96
2067,all the bread is made inhouse,1,6,31,6,29
2068,the only downside is the service,0,6,33,6,32
2069,also the fries are without a doubt the worst fries ive ever had,0,13,66,13,63
2070,service was exceptional and food was a good as all the reviews,1,12,63,12,62
2071,a couple of months later i returned and had an amazing meal,1,12,61,12,59
2072,favorite place in town for shawarrrrrrma,1,6,46,6,40
2073,the black eyed peas and sweet potatoes unreal,1,8,49,8,45
2074,you wont be disappointed,1,4,26,4,24
2075,they could serve it with just the vinaigrette and it may make for a better overall dish but it was still very good,1,23,116,23,114
2076,i go to far too many places and ive never seen any restaurant that serves a 1 egg breakfast especially for 400,0,22,115,22,110
2077,when my mom and i got home she immediately got sick and she only had a few bites of salad,0,20,90,20,89
2078,the servers are not pleasant to deal with and they dont always honor pizza hut coupons,0,16,88,16,86
2079,both of them were truly unbelievably good and i am so glad we went back,1,15,73,15,71
2080,we had fantastic service and were pleased by the atmosphere,1,10,61,10,59
2081,everything was gross,0,3,21,3,20
2082,i love this place,1,4,18,4,17
2083,great service and food,1,4,23,4,22
2084,first  the bathrooms at this location were dirty seat covers were not replenished  just plain yucky,0,18,105,16,99
2085,the burger i got the gold standard a 17 burger and was kind of disappointed,0,15,82,15,75
2086,omg the food was delicioso,1,5,28,5,26
2087,there is nothing authentic about this place,0,7,44,7,43
2088,the spaghetti is nothing special whatsoever,0,6,44,6,43
2089,of all the dishes the salmon was the best but all were great,1,13,63,13,60
2090,the vegetables are so fresh and the sauce feels like authentic thai,1,12,68,12,67
2091,its worth driving up from tucson,1,6,34,6,32
2092,the selection was probably the worst ive seen in vegasthere was none,0,12,75,12,68
2093,pretty good beer selection too,1,5,31,5,30
2094,this place is like chipotle but better,1,7,40,7,38
2095,classywarm atmosphere fun and fresh appetizers succulent steaks baseball steak,1,10,87,10,78
2096,5 stars for the brick oven bread app,1,8,37,8,36
2097,i have eaten here multiple times and each time the food was delicious,1,13,71,13,69
2098,we sat another ten minutes and finally gave up and left,0,11,56,11,55
2099,he was terrible,0,3,16,3,15
2100,everyone is treated equally special,1,5,36,5,35
2101,it shouldnt take 30 min for pancakes and eggs,0,9,47,9,45
2102,it was delicious,1,3,19,3,16
2103,on the good side the staff was genuinely pleasant and enthusiastic  a real treat,1,15,83,14,80
2104,sadly gordon ramseys steak is a place we shall sharply avoid during our next trip to vegas,0,17,93,17,90
2105,as always the evening was wonderful and the food delicious,1,10,59,10,58
2106,best fish ive ever had in my life,1,8,35,8,33
2107,the bathroom is just next door and very nice,1,9,47,9,44
2108,the buffet is small and all the food they offered was bland,0,12,60,12,59
2109,this is an outstanding little restaurant with some of the best food i have ever tasted,1,16,87,16,86
2110,pretty cool i would say,1,5,24,5,23
2111,definitely a turn off for me  i doubt ill be back unless someone else is buying,0,17,82,16,79
2112,server did a great job handling our large rowdy table,1,10,54,10,53
2113,i find wasting food to be despicable but this just wasnt food,0,12,64,12,61
2114,my wife had the lobster bisque soup which was lukewarm,0,10,55,10,54
2115,would come back again if i had a sushi craving while in vegas,1,13,62,13,61
2116,the staff are great the ambiance is great,1,8,43,8,41
2117,he deserves 5 stars,1,4,20,4,19
2118,i left with a stomach ache and felt sick the rest of the day,0,14,61,14,60
2119,they dropped more than the ball,0,6,32,6,31
2120,the dining space is tiny but elegantly decorated and comfortable,1,10,66,10,64
2121,they will customize your order any way youd like my usual is eggplant with green bean stir fry love it,1,20,106,20,102
2122,and the beans and rice were mediocre at best,0,9,45,9,44
2123,best tacos in town by far,1,6,27,6,25
2124,i took back my money and got outta there,0,9,41,9,40
2125,in an interesting part of town this place is amazing,1,10,54,10,52
2126,rude  inconsiderate management,0,4,32,3,30
2127,the staff are now not as friendly the wait times for being served are horrible no one even says hi for the first 10 minutes,0,25,126,25,123
2128,i wont be back,0,4,16,4,14
2129,they have great dinners,1,4,24,4,23
2130,the service was outshining  i definitely recommend the halibut,1,10,64,9,62
2131,the food was terrible,0,4,22,4,21
2132,will never ever go back and have told many people what had happened,0,13,68,13,67
2133,i dont recommend unless your car breaks down in front of it and you are starving,0,16,82,16,80
2134,i will come back here every time im in vegas,1,10,46,10,44
2135,this place deserves one star and 90 has to do with the food,0,13,61,13,59
2136,this is a disgrace,0,4,19,4,18
2137,def coming back to bowl next time,1,7,33,7,33
2138,if you want healthy authentic or ethic food try this place,1,11,60,11,58
2139,i will continue to come here on ladies night andddd date night  highly recommend this place to anyone who is in the area ,1,25,126,23,121
2140,i have been here several times in the past and the experience has always been great,1,16,85,16,83
2141,we walked away stuffed and happy about our first vegas buffet experience,1,12,73,12,72
2142,service was excellent and prices are pretty reasonable considering this is vegas and located inside the crystals shopping mall by aria,1,21,135,21,134
2143,to summarize the food was incredible nay transcendant but nothing brings me joy quite like the memory of the pneumatic condiment dispenser,1,22,147,22,138
2144,im probably one of the few people to ever go to ians and not like it,0,16,70,16,68
2145,kids pizza is always a hit too with lots of great side dish options for the kiddos,1,17,83,17,82
2146,service is perfect and the family atmosphere is nice to see,1,11,60,11,59
2147,cooked to perfection and the service was impeccable,1,8,52,8,51
2148,this one is simply a disappointment,0,6,36,6,35
2149,overall i was very disappointed with the quality of food at bouchon,0,12,69,12,67
2150,i dont have to be an accountant to know im getting screwed,0,12,61,12,58
2151,great place to eat reminds me of the little mom and pop shops in the san francisco bay area,1,19,93,19,91
2152,today was my first taste of a buldogis gourmet hot dog and i have to tell you it was more than i ever thought possible,1,25,119,25,118
2153,left very frustrated,0,3,21,3,20
2154,ill definitely be in soon again,1,6,33,6,31
2155,food was really good and i got full petty fast,1,10,47,10,46
2156,service was fantastic,1,3,22,3,21
2157,total waste of time,0,4,20,4,19
2158,i dont know what kind it is but they have the best iced tea,1,14,61,14,59
2159,come hungry leave happy and stuffed,1,6,37,6,35
2160,for service i give them no stars,0,7,34,7,32
2161,i can assure you that you wont be disappointed,1,9,48,9,46
2162,i can take a little bad service but the food sucks,0,11,51,11,50
2163,gave up trying to eat any of the crust teeth still sore,0,12,58,12,55
2164,but now i was completely grossed out,0,7,37,7,36
2165,i really enjoyed eating here,1,5,29,5,28
2166,first time going but i think i will quickly become a regular,1,12,61,12,60
2167,our server was very nice and even though he looked a little overwhelmed with all of our needs he stayed professional and friendly until the end,1,26,146,26,143
2168,from what my dinner companions told meeverything was very fresh with nice texture and taste,1,15,95,15,91
2169,on the ground right next to our table was a large smeared beensteppedinandtrackedeverywhere pile of green bird poop,0,18,124,18,115
2170,furthermore you cant even find hours of operation on the website,0,11,67,11,64
2171,weve tried to like this place but after 10 times i think were done with them,0,16,80,16,76
2172,what a mistake that was,0,5,24,5,23
2173,no complaints,1,2,14,2,13
2174,this is some seriously good pizza and im an expertconnisseur on the topic,1,13,76,13,73
2175,waiter was a jerk,0,4,18,4,17
2176,strike 2 who wants to be rushed,0,7,33,7,31
2177,these are the nicest restaurant owners ive ever come across,1,10,61,10,59
2178,i never come again,0,4,19,4,18
2179,we loved the biscuits,1,4,24,4,21
2180,service is quick and friendly,1,5,30,5,29
2181,ordered an appetizer and took 40 minutes and then the pizza another 10 minutes,0,14,79,14,78
2182,so absolutley fantastic,1,3,24,3,23
2183,it was a huge awkward 15lb piece of cow that was 34ths gristle and fat,0,15,73,15,70
2184,definitely will come back here again,1,6,37,6,36
2185,i like steiners because its dark and it feels like a bar,1,12,58,12,56
2186,wow very spicy but delicious,1,5,29,5,28
2187,if youre not familiar check it out,1,7,37,7,34
2188,ill take my business dinner dollars elsewhere,0,7,47,7,45
2189,id love to go back,1,5,20,5,18
2190,anyway this fs restaurant has a wonderful breakfastlunch,1,8,59,8,56
2191,nothing special,0,2,16,2,15
2192,each day of the week they have a different deal and its all so delicious,1,15,74,15,72
2193,not to mention the combination of pears almonds and bacon is a big winner,1,14,75,14,73
2194,will not be back,0,4,17,4,16
2195,sauce was tasteless,0,3,20,3,19
2196,the food is delicious and just spicy enough so be sure to ask for spicier if you prefer it that way,1,21,101,21,99
2197,my ribeye steak was cooked perfectly and had great mesquite flavor,1,11,67,11,66
2198,i dont think well be going back anytime soon,0,9,47,9,44
2199,food was so gooodd,1,4,19,4,18
2200,i am far from a sushi connoisseur but i can definitely tell the difference between good food and bad food and this was certainly bad food,0,26,138,26,137
2201,i was so insulted,0,4,18,4,17
2202,the last 3 times i had lunch here has been bad,0,11,47,11,46
2203,the chicken wings contained the driest chicken meat i have ever eaten,0,12,70,12,69
2204,the food was very good and i enjoyed every mouthful an enjoyable relaxed venue for couples small family groups etc,1,20,116,20,114
2205,nargile  i think you are great,1,7,32,6,30
2206,best tater tots in the southwest,1,6,33,6,32
2207,we loved the place,1,4,19,4,18
2208,definitely not worth the 3 i paid,0,7,35,7,33
2209,the vanilla ice cream was creamy and smooth while the profiterole choux pastry was fresh enough,1,16,98,16,95
2210,im in az all the time and now have my new spot,1,12,47,12,46
2211,the manager was the worst,0,5,26,5,25
2212,the inside is really quite nice and very clean,1,9,47,9,46
2213,the food was outstanding and the prices were very reasonable,1,10,61,10,60
2214,i dont think ill be running back to carlys anytime soon for food,0,13,68,13,64
2215,this is was due to the fact that it took 20 minutes to be acknowledged then another 35 minutes to get our foodand they kept forgetting things,0,27,146,27,141
2216,love the margaritas too,1,4,25,4,23
2217,this was my first and only vegas buffet and it did not disappoint,1,13,66,13,65
2218,very good though,1,3,18,3,16
2219,the one down note is the ventilation could use some upgrading,0,11,62,11,61
2220,great pork sandwich,1,3,20,3,19
2221,dont waste your time here,0,5,27,5,25
2222,total letdown i would much rather just go to the camelback flower shop and cartel coffee,0,16,90,16,88
2223,third the cheese on my friends burger was cold,0,9,49,9,46
2224,we enjoy their pizza and brunch,1,6,32,6,31
2225,the steaks are all well trimmed and also perfectly cooked,1,10,58,10,57
2226,we had a group of 70 when we claimed we would only have 40 and they handled us beautifully,1,19,92,19,90
2227,i loved it,1,3,11,3,10
2228,we asked for the bill to leave without eating and they didnt bring that either,0,15,80,15,78
2229,this place is a jewel in las vegas and exactly what ive been hoping to find in nearly ten years living here,1,22,110,22,107
2230,seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh,0,18,100,18,99
2231,the selection of food was not the best,0,8,39,8,38
2232,delicious and i will absolutely be back,1,7,40,7,39
2233,this isnt a small family restaurant this is a fine dining establishment,1,12,74,12,71
2234,they had a toro tartare with a cavier that was extraordinary and i liked the thinly sliced wagyu with white truffle,1,21,116,21,115
2235,i dont think i will be back for a very long time,0,12,49,12,48
2236,it was attached to a gas station and that is rarely a good sign,0,14,65,14,63
2237,how awesome is that,1,4,20,4,19
2238,i will be back many times soon,1,7,31,7,30
2239,the menu had so much good stuff on it i could not decide,1,13,57,13,56
2240,worse of all he humiliated his worker right in front of mebunch of horrible name callings,0,16,93,16,89
2241,conclusion very filling meals,1,4,31,4,29
2242,their daily specials are always a hit with my group,1,10,52,10,51
2243,and then tragedy struck,0,4,24,4,23
2244,the pancake was also really good and pretty large at that,1,11,58,11,57
2245,this was my first crawfish experience and it was delicious,1,10,60,10,58
2246,their monster chicken fried steak and eggs is my all time favorite,1,12,67,12,66
2247,waitress was sweet and funny,1,5,29,5,28
2248,i also had to taste my moms multigrain pumpkin pancakes with pecan butter and they were amazing fluffy and delicious,1,20,121,20,116
2249,id rather eat airline food seriously,0,6,39,6,36
2250,cant say enough good things about this place,1,8,45,8,44
2251,the ambiance was incredible,1,4,28,4,27
2252,the waitress and manager are so friendly,1,7,41,7,40
2253,i would not recommend this place,0,6,33,6,32
2254,overall i wasnt very impressed with noca,0,7,42,7,40
2255,my gyro was basically lettuce only,0,6,35,6,34
2256,terrible service,0,2,17,2,16
2257,thoroughly disappointed,0,2,24,2,23
2258,i dont each much pasta but i love the homemade hand made pastas and thin pizzas here,1,17,88,17,84
2259,give it a try you will be happy you did,1,10,41,10,39
2260,by far the best cheesecurds we have ever had,1,9,45,9,44
2261,reasonably priced also,1,3,23,3,22
2262,everything was perfect the night we were in,1,8,44,8,43
2263,the food is very good for your typical bar food,1,10,48,10,47
2264,it was a drive to get there,0,7,28,7,27
2265,at first glance it is a lovely bakery cafe  nice ambiance clean friendly staff,1,15,82,14,78
2266,anyway i do not think i will go back there,0,10,44,10,42
2267,point your finger at any item on the menu order it and you wont be disappointed,1,16,82,16,79
2268,oh this is such a thing of beauty this restaurant,1,10,51,10,49
2269,if you havent gone here go now,1,7,32,7,30
2270,a greasy unhealthy meal,0,4,25,4,23
2271,first time there and might just be the last,0,9,44,9,43
2272,those burgers were amazing,1,4,27,4,26
2273,similarly the delivery man did not say a word of apology when our food was 45 minutes late,0,18,92,18,90
2274,and it was way to expensive,0,6,28,6,27
2275,be sure to order dessert even if you need to pack it togo  the tiramisu and cannoli are both to die for,1,23,107,22,103
2276,this was my first time and i cant wait until the next,1,12,55,12,53
2277,the bartender was also nice,1,5,28,5,27
2278,everything was good and tasty,1,5,30,5,29
2279,this place is two thumbs upway up,1,7,38,7,33
2280,the best place in vegas for breakfast just check out a sat or sun,1,14,68,14,65
2281,if you love authentic mexican food and want a whole bunch of interesting yet delicious meats to choose from you need to try this place,1,25,137,25,134
2282,terrible management,0,2,20,2,19
2283,an excellent new restaurant by an experienced frenchman,1,8,56,8,55
2284,if there were zero stars i would give it zero stars,0,11,52,11,51
2285,great steak great sides great wine amazing desserts,1,8,55,8,51
2286,worst martini ever,0,3,19,3,18
2287,the steak and the shrimp are in my opinion the best entrees at gc,1,14,66,14,65
2288,i had the opportunity today to sample your amazing pizzas,1,10,58,10,57
2289,we waited for thirty minutes to be seated although there were 8 vacant tables and we were the only folks waiting,0,21,115,21,112
2290,the yellowtail carpaccio was melt in your mouth fresh,1,9,54,9,53
2291,i wont try going back there even if its empty,0,10,48,10,45
2292,no im going to eat the potato that i found some strangers hair in it,0,15,71,15,68
2293,just spicy enough perfect actually,1,5,37,5,34
2294,last night was my second time dining here and i was so happy i decided to go back,1,18,82,18,81
2295,not even a hello we will be right with you,0,10,46,10,42
2296,the desserts were a bit strange,0,6,32,6,31
2297,my boyfriend and i came here for the first time on a recent trip to vegas and could not have been more pleased with the quality of food and service,1,30,148,30,147
2298,i really do recommend this place you can go wrong with this donut place,1,14,73,14,71
2299,nice ambiance,1,2,14,2,13
2300,i would recommend saving room for this,1,7,39,7,38
2301,i guess maybe we went on an off night but it was disgraceful,0,13,61,13,60
2302,however my recent experience at this particular location was not so good,0,12,74,12,72
2303,i know this is not like the other restaurants at all something is very off here,0,16,81,16,79
2304,avoid this establishment,0,3,25,3,24
2305,i think this restaurant suffers from not trying hard enough,0,10,60,10,59
2306,all of the tapas dishes were delicious,1,7,39,7,38
2307,i heart this place,1,4,21,4,18
2308,my salad had a bland vinegrette on the baby greens and hearts of palm,0,14,70,14,69
2309,after two i felt disgusting,0,5,28,5,27
2310,a good time,1,3,12,3,11
2311,i believe that this place is a great stop for those with a huge belly and hankering for sushi,1,19,94,19,93
2312,generous portions and great taste,1,5,34,5,33
2313,i will never go back to this place and will never ever recommended this place to anyone,0,17,88,17,87
2314,the servers went back and forth several times not even so much as an are you being helped,0,18,93,18,89
2315,food was delicious,1,3,19,3,18
2316,an hour seriously,0,3,21,3,17
2317,i consider this theft,0,4,22,4,21
2318,eew this location needs a complete overhaul,0,7,47,7,43
2319,we recently witnessed her poor quality of management towards other guests as well,0,13,82,13,81
2320,waited and waited and waited,0,5,29,5,28
2321,he also came back to check on us regularly excellent service,1,11,62,11,60
2322,our server was super nice and checked on us many times,1,11,55,11,54
2323,the pizza tasted old super chewy in not a good way,0,11,52,11,50
2324,i swung in to give them a try but was deeply disappointed,0,12,58,12,57
2325,service was good and the company was better,1,8,44,8,43
2326,the staff are also very friendly and efficient,1,8,47,8,46
2327,as for the service im a fan because its quick and youre being served by some nice folks,1,18,93,18,87
2328,boy was that sucker dry,0,5,26,5,23
2329,over rated,0,2,11,2,10
2330,if you look for authentic thai food go else where,0,10,51,10,49
2331,their steaks are 100 recommended,1,5,34,5,32
2332,after i pulled up my car i waited for another 15 minutes before being acknowledged,0,15,83,15,82
2333,great food and great service in a clean and friendly setting,1,11,61,11,60
2334,all in all i can assure you ill be back,1,10,42,10,39
2335,i hate those things as much as cheap quality black olives,0,11,58,11,57
2336,my breakfast was perpared great with a beautiful presentation of 3 giant slices of toast lightly dusted with powdered sugar,1,20,126,20,123
2337,the kids play area is nasty,0,6,28,6,27
2338,great place fo take out or eat in,1,8,34,8,33
2339,the waitress was friendly and happy to accomodate for veganveggie options,1,11,75,11,73
2340,omg i felt like i had never eaten thai food until this dish,1,13,60,13,59
2341,it was extremely crumby and pretty tasteless,0,7,47,7,44
2342,it was a pale color instead of nice and char and has no flavor,0,14,63,14,62
2343,the croutons also taste homemade which is an extra plus,1,10,56,10,55
2344,i got home to see the driest damn wings ever,0,10,45,10,44
2345,itll be a regular stop on my trips to phoenix,1,10,47,10,45
2346,i really enjoyed crema café before they expanded i even told friends they had the best breakfast,1,17,98,17,96
2347,not good for the money,0,5,23,5,22
2348,i miss it and wish they had one in philadelphia,1,10,48,10,47
2349,we got sitting fairly fast but ended up waiting 40 minutes just to place our order another 30 minutes before the food arrived,0,23,129,23,125
2350,they also have the best cheese crisp in town,1,9,45,9,44
2351,good value great food great service,1,6,38,6,35
2352,couldnt ask for a more satisfying meal,1,7,40,7,38
2353,the food is good,1,4,17,4,16
2354,it was awesome,1,3,15,3,14
2355,i just wanted to leave,0,5,23,5,22
2356,we made the drive all the way from north scottsdale and i was not one bit disappointed,1,17,90,17,86
2357,i will not be eating there again,0,7,33,7,32
2358,the owners really really need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one,0,21,120,21,114
2359,i checked out this place a couple years ago and was not impressed,0,13,66,13,65
2360,the chicken i got was definitely reheated and was only ok the wedges were cold and soggy,0,17,90,17,88
2361,sorry i will not be getting food from here anytime soon ,0,12,59,11,56
2362,an absolute must visit,1,4,23,4,22
2363,the cow tongue and cheek tacos are amazing,1,8,43,8,42
2364,my friend did not like his bloody mary,0,8,39,8,38
2365,despite how hard i rate businesses its actually rare for me to give a 1 star,0,16,78,16,76
2366,they really want to make your experience a good one,1,10,52,10,51
2367,i will not return,0,4,18,4,17
2368,i had the chicken pho and it tasted very bland,0,10,47,10,46
2369,very disappointing,0,2,21,2,18
2370,the grilled chicken was so tender and yellow from the saffron seasoning,1,12,72,12,71
2371,a drive thru means you do not want to wait around for half an hour for your food but somehow when we end up going here they make us wait and wait,0,32,147,32,145
2372,pretty awesome place,1,3,21,3,20
2373,ambience is perfect,1,3,20,3,19
2374,best of luck to the rude and noncustomer service focused new management,0,12,73,12,71
2375,any grandmother can make a roasted chicken better than this one,0,11,64,11,63
2376,i asked multiple times for the wine list and after some time of being ignored i went to the hostess and got one myself,0,24,119,24,118
2377,the staff is always super friendly and helpful which is especially cool when you bring two small boys and a baby,1,21,114,21,112
2378,four stars for the food  the guy in the blue shirt for his great vibe  still letting us in to eat ,1,24,101,21,98
2379,the roast beef sandwich tasted really good,1,7,43,7,42
2380,same evening him and i are both drastically sick,0,9,50,9,48
2381,highquality chicken on the chicken caesar salad,1,7,49,7,47
2382,ordered burger rare came in well done,0,7,39,7,37
2383,we were promptly greeted and seated,1,6,36,6,35
2384,tried to go here for lunch and it was a madhouse,0,11,49,11,48
2385,i was proven dead wrong by this sushi bar not only because the quality is great but the service is fast and the food impeccable,1,25,131,25,127
2386,after waiting an hour and being seated i was not in the greatest of moods,0,15,75,15,73
2387,this is a good joint,1,5,21,5,20
2388,the macarons here are insanely good,1,6,36,6,35
2389,im not eating here,0,4,20,4,18
2390,our waiter was very attentive friendly and informative,1,8,57,8,54
2391,maybe if they werent cold they would have been somewhat edible,0,11,64,11,62
2392,this place has a lot of promise but fails to deliver,0,11,53,11,52
2393,very bad experience,0,3,20,3,19
2394,what a mistake,0,3,15,3,14
2395,food was average at best,0,5,25,5,24
2396,great food,1,2,11,2,10
2397,we wont be going back anytime soon,0,7,36,7,34
2398,very very disappointed ordered the 35 big bay plater,0,9,54,9,52
2399,great place to relax and have an awesome burger and beer,1,11,57,11,56
2400,it is perfect for a sitdown family meal or get together with a few friends,1,15,76,15,74
2401,not much flavor to them and very poorly constructed,0,9,53,9,51
2402,the patio seating was very comfortable,1,6,39,6,38
2403,the fried rice was dry as well,0,7,31,7,30
2404,hands down my favorite italian restaurant,1,6,42,6,41
2405,that just screams legit in my booksomethats also pretty rare here in vegas,1,13,81,13,74
2406,it was just not a fun experience,1,7,33,7,32
2407,the atmosphere was great with a lovely duo of violinists playing songs we requested,1,14,84,14,83
2408,i personally love the hummus pita baklava falafels and baba ganoush its amazing what they do with eggplant,1,18,114,18,106
2409,very convenient since we were staying at the mgm,1,9,50,9,48
2410,the owners are super friendly and the staff is courteous,1,10,57,10,56
2411,both great,1,2,11,2,10
2412,eclectic selection,1,2,19,2,18
2413,the sweet potato tots were good but the onion rings were perfection or as close as i have had,1,19,94,19,93
2414,the staff was very attentive,1,5,29,5,28
2415,and the chef was generous with his time even came around twice so we can take pictures with him,1,19,98,19,95
2416,the owner used to work at nobu so this place is really similar for half the price,1,17,83,17,81
2417,google mediocre and i imagine smashburger will pop up,0,9,54,9,53
2418,dont go here,0,3,13,3,12
2419,i promise they wont disappoint,1,5,32,5,30
2420,as a sushi lover avoid this place by all means,0,10,47,10,46
2421,what a great double cheeseburger,1,5,33,5,32
2422,awesome service and food,1,4,25,4,24
2423,a fantastic neighborhood gem ,1,5,32,4,29
2424,i cant wait to go back,1,6,24,6,22
2425,the plantains were the worst ive ever tasted,0,8,46,8,44
2426,its a great place and i highly recommend it,1,9,45,9,43
2427,service was slow and not attentive,0,6,35,6,34
2428,i gave it 5 stars then and im giving it 5 stars now,1,13,54,13,51
2429,your staff spends more time talking to themselves than me,0,10,58,10,57
2430,dessert panna cotta was amazing,1,5,33,5,31
2431,very good food great atmosphere1,1,5,34,5,32
2432,damn good steak,1,3,16,3,15
2433,total brunch fail,0,3,18,3,17
2434,prices are very reasonable flavors are spot on the sauce is home made and the slaw is not drenched in mayo,1,21,110,21,106
2435,the decor is nice and the piano music soundtrack is pleasant,1,11,62,11,60
2436,the steak was amazingrge fillet relleno was the best seafood plate i have ever had,1,15,86,15,82
2437,good food  good service ,1,6,26,4,24
2438,it was absolutely amazing,1,4,26,4,25
2439,i probably wont be back to be honest,0,8,39,8,36
2440,will definitely be back,1,4,24,4,23
2441,the sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well,1,14,83,14,82
2442,hawaiian breeze mango magic and pineapple delight are the smoothies that ive tried so far and theyre all good,1,19,114,19,109
2443,went for lunch  service was slow,0,7,34,6,32
2444,we had so much to say about the place before we walked in that he expected it to be amazing but was quickly disappointed,0,24,122,24,120
2445,i was mortified,0,3,16,3,15
2446,needless to say we will never be back here again,0,10,50,10,48
2447,anyways the food was definitely not filling at all and for the price you pay you should expect more,0,19,102,19,99
2448,the chips that came out were dripping with grease and mostly not edible,0,13,73,13,71
2449,i wasnt really impressed with strip steak,0,7,43,7,41
2450,have been going since 2007 and every meal has been awesome,1,11,60,11,58
2451,our server was very nice and attentive as were the other serving staff,1,13,71,13,70
2452,the cashier was friendly and even brought the food out to me,1,12,61,12,60
2453,i work in the hospitality industry in paradise valley and have refrained from recommending cibo any longer,0,17,107,17,106
2454,the atmosphere here is fun,1,5,27,5,26
2455,would not recommend to others,0,5,30,5,29
2456,service is quick and even to go orders are just like we like it,1,14,66,14,63
2457,i mean really how do you get so famous for your fish and chips when its so terrible,0,18,88,18,83
2458,that said our mouths and bellies were still quite pleased,1,10,59,10,57
2459,not my thing,0,3,13,3,12
2460,2 thumbs up,1,3,13,3,11
2461,if you are reading this please dont go there,0,9,46,9,44
2462,i loved the grilled pizza reminded me of legit italian pizza,1,11,62,11,60
2463,only pros  large seating area nice bar area great simple drink menu the best brick oven pizza with homemade dough,1,21,118,20,113
2464,they have a really nice atmosphere,1,6,35,6,34
2465,tonight i had the elk filet specialand it sucked,0,9,52,9,48
2466,after one bite i was hooked,1,6,29,6,27
2467,we ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything,0,21,124,21,123
2468,cute quaint simple honest,1,4,29,4,25
2469,the chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside,1,19,108,19,107
2470,the food was great as always compliments to the chef,1,10,54,10,52
2471,special thanks to dylan t for the recommendation on what to order  all yummy for my tummy,1,18,93,17,89
2472,awesome selection of beer,1,4,26,4,25
2473,great food and awesome service,1,5,31,5,30
2474,one nice thing was that they added gratuity on the bill since our party was larger than 6 or 8 and they didnt expect more tip than that,1,28,138,28,135
2475,a fly was in my apple juice a fly,0,9,43,9,33
2476,the han nan chicken was also very tasty,1,8,40,8,39
2477,as for the service i thought it was good,1,9,42,9,40
2478,the food was barely lukewarm so it must have been sitting waiting for the server to bring it out to us,0,21,104,21,102
2479,ryans bar is definitely one edinburgh establishment i wont be revisiting,0,11,75,11,72
2480,nicest chinese restaurant ive been in a while,1,8,47,8,45
2481,overall i like there food and the service,1,8,43,8,41
2482,they also now serve indian naan bread with hummus and some spicy pine nut sauce that was out of this world,1,21,107,21,106
2483,probably never coming back and wouldnt recommend it,0,8,54,8,51
